Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;
Description Logics for Conceptual Data Modeling;Logics for Databases and Information Systems;;;;10.1007/978-1-4615-5643-5_8;Diego CalvaneseMaurizio LenzeriniDaniele Nardi;1998;http://link.springer.com/chapter/10.1007/978-1-4615-5643-5_8;Chapter;;;;
Description Logics for Modeling Dynamic Information;Logics for Emerging Applications of Databases;;;;10.1007/978-3-642-18690-5_7;Alessandro ArtaleEnrico FranconiFederica Mandreoli;2004;http://link.springer.com/chapter/10.1007/978-3-642-18690-5_7;Chapter;;;;
Semantic Mappings in Description Logics for Spatio-temporal Database Schema Integration;Journal on Data Semantics III;;;;10.1007/11496168_7;A. SotnykovaC. VangenotN. CullotN. BennacerM-A. Aufaure;2005;http://link.springer.com/chapter/10.1007/11496168_7;Chapter;;;;
A Proposal for Combining Formal Concept Analysis and Description Logics for Mining Relational Data;Formal Concept Analysis;;;;10.1007/978-3-540-70901-5_4;Mohamed Hacene RouaneMarianne HuchardAmedeo NapoliPetko Valtchev;2007;http://link.springer.com/chapter/10.1007/978-3-540-70901-5_4;Chapter;;;;
Description Logics for Ontologies;Conceptual Structures for Knowledge Creation and Communication;;;;10.1007/978-3-540-45091-7_7;Ulrike Sattler;2003;http://link.springer.com/chapter/10.1007/978-3-540-45091-7_7;Chapter;;;;
Description Logics for Relative Terminologies;Interfaces: Explorations in Logic; Language and Computation;;;10.1007/978-3-642-14729-6_10;Szymon Klarman;2010;http://link.springer.com/chapter/10.1007/978-3-642-14729-6_10;Chapter;;;;
A Novel Combination of Answer Set Programming with Description Logics for the Semantic Web;The Semantic Web: Research and Applications;;;;10.1007/978-3-540-72667-8_28;Thomas Lukasiewicz;2007;http://link.springer.com/chapter/10.1007/978-3-540-72667-8_28;Chapter;;;;
Using Description Logics for Designing the Case Base in a Hybrid Approach for Diagnosis Integrating Model and Case-Based Reasoning;Case-Based Reasoning Research and Development;;;;10.1007/3-540-44593-5_39;Yacine ZeghibFran«?ois De BeuvronMartina Kullmann;2001;http://link.springer.com/chapter/10.1007/3-540-44593-5_39;Chapter;;;;
A Plausibility Description Logics for Reasoning with Information Sources Having Different Formats and Structures;Foundations of Intelligent Systems;;;;10.1007/3-540-48050-1_7;Luigi PalopoliGiorgio TerracinaDomenico Ursino;2002;http://link.springer.com/chapter/10.1007/3-540-48050-1_7;Chapter;;;;
Using Description Logics for Case-Based Reasoning in Hybrid Diagnosis;Intelligent Problem Solving. Methodologies and Approaches;;;;10.1007/3-540-45049-1_44;Yacine ZeghibFran«ıois De BeuvronMartina Kullmann;2000;http://link.springer.com/chapter/10.1007/3-540-45049-1_44;Chapter;;;;
Temporal ER Modeling with Description Logics;Conceptual Modeling É?? ER É??99;;;;10.1007/3-540-47866-3_6;Alessandro ArtaleEnrico Franconi;1999;http://link.springer.com/chapter/10.1007/3-540-47866-3_6;Chapter;;;;
Representing and Reasoning on Database Conceptual Schemas;Knowledge and Information Systems;;3;1;10.1007/PL00011659;M.-S. HacidJ.-M. PetitF. Toumani;2001;http://link.springer.com/article/10.1007/PL00011659;Article;;;;
A Temporal Description Logic for Reasoning over Conceptual Schemas and Queries;Logics in Artificial Intelligence;;;;10.1007/3-540-45757-7_9;Alessandro ArtaleEnrico FranconiFrank WolterMichael Zakharyaschev;2002;http://link.springer.com/chapter/10.1007/3-540-45757-7_9;Chapter;;;;
Combining Answer Set Programming with Description Logics for Analogical Reasoning Under an AgentÉ??s Preferences;Advances in Artificial Intelligence: From Theory to Practice;;;;10.1007/978-3-319-60045-1_33;Teeradaj RacharakSatoshi TojoNguyen Duy HungPrachya Boonkwan;2017;http://link.springer.com/chapter/10.1007/978-3-319-60045-1_33;Chapter;;;;
